// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 27 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:06 (6.33 sec)   *****
// Found 27 benchmarks:
//   Kyber_Benchmarking.KeyGen: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.Encaps: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.Decaps: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.KeyGen: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.Encaps: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.Decaps: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.KeyGen: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.Encaps: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.Decaps: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
//   Kyber_Benchmarking.KeyGen: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.Encaps: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.Decaps: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.KeyGen: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.Encaps: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.Decaps: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.KeyGen: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.Encaps: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.Decaps: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber512]
//   Kyber_Benchmarking.KeyGen: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.Encaps: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.Decaps: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.KeyGen: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.Encaps: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.Decaps: Job-BOEMXS(Runtime=.NET 8.0, InvocationCount=1, IterationCount=100, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.KeyGen: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.Encaps: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber768]
//   Kyber_Benchmarking.Decaps: DefaultJob(InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber768]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Höchstleistung)
// **************************
// Benchmark: Kyber_Benchmarking.KeyGen: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1)

WorkloadActual  43: 1 op, 249300.00 ns, 249.3000 us/op
WorkloadActual  44: 1 op, 243800.00 ns, 243.8000 us/op
WorkloadActual  45: 1 op, 250900.00 ns, 250.9000 us/op
WorkloadActual  46: 1 op, 321200.00 ns, 321.2000 us/op
WorkloadActual  47: 1 op, 314600.00 ns, 314.6000 us/op
WorkloadActual  48: 1 op, 269000.00 ns, 269.0000 us/op
WorkloadActual  49: 1 op, 349600.00 ns, 349.6000 us/op
WorkloadActual  50: 1 op, 249900.00 ns, 249.9000 us/op
WorkloadActual  51: 1 op, 268000.00 ns, 268.0000 us/op
WorkloadActual  52: 1 op, 251000.00 ns, 251.0000 us/op
WorkloadActual  53: 1 op, 246000.00 ns, 246.0000 us/op
WorkloadActual  54: 1 op, 249100.00 ns, 249.1000 us/op
WorkloadActual  55: 1 op, 281600.00 ns, 281.6000 us/op
WorkloadActual  56: 1 op, 271000.00 ns, 271.0000 us/op
WorkloadActual  57: 1 op, 248400.00 ns, 248.4000 us/op
WorkloadActual  58: 1 op, 277700.00 ns, 277.7000 us/op
WorkloadActual  59: 1 op, 272000.00 ns, 272.0000 us/op
WorkloadActual  60: 1 op, 262400.00 ns, 262.4000 us/op
WorkloadActual  61: 1 op, 258000.00 ns, 258.0000 us/op
WorkloadActual  62: 1 op, 310200.00 ns, 310.2000 us/op
WorkloadActual  63: 1 op, 262700.00 ns, 262.7000 us/op
WorkloadActual  64: 1 op, 284900.00 ns, 284.9000 us/op
WorkloadActual  65: 1 op, 259400.00 ns, 259.4000 us/op
WorkloadActual  66: 1 op, 266900.00 ns, 266.9000 us/op
WorkloadActual  67: 1 op, 260800.00 ns, 260.8000 us/op
WorkloadActual  68: 1 op, 306100.00 ns, 306.1000 us/op
WorkloadActual  69: 1 op, 253700.00 ns, 253.7000 us/op
WorkloadActual  70: 1 op, 274600.00 ns, 274.6000 us/op
WorkloadActual  71: 1 op, 261900.00 ns, 261.9000 us/op
WorkloadActual  72: 1 op, 302500.00 ns, 302.5000 us/op
WorkloadActual  73: 1 op, 267300.00 ns, 267.3000 us/op
WorkloadActual  74: 1 op, 267900.00 ns, 267.9000 us/op
WorkloadActual  75: 1 op, 246900.00 ns, 246.9000 us/op
WorkloadActual  76: 1 op, 243600.00 ns, 243.6000 us/op
WorkloadActual  77: 1 op, 361300.00 ns, 361.3000 us/op
WorkloadActual  78: 1 op, 260500.00 ns, 260.5000 us/op
WorkloadActual  79: 1 op, 280600.00 ns, 280.6000 us/op
WorkloadActual  80: 1 op, 273200.00 ns, 273.2000 us/op
WorkloadActual  81: 1 op, 265700.00 ns, 265.7000 us/op
WorkloadActual  82: 1 op, 251100.00 ns, 251.1000 us/op
WorkloadActual  83: 1 op, 252500.00 ns, 252.5000 us/op
WorkloadActual  84: 1 op, 318600.00 ns, 318.6000 us/op
WorkloadActual  85: 1 op, 255800.00 ns, 255.8000 us/op
WorkloadActual  86: 1 op, 273000.00 ns, 273.0000 us/op
WorkloadActual  87: 1 op, 232500.00 ns, 232.5000 us/op
WorkloadActual  88: 1 op, 308300.00 ns, 308.3000 us/op
WorkloadActual  89: 1 op, 249700.00 ns, 249.7000 us/op
WorkloadActual  90: 1 op, 255400.00 ns, 255.4000 us/op
WorkloadActual  91: 1 op, 250900.00 ns, 250.9000 us/op
WorkloadActual  92: 1 op, 236700.00 ns, 236.7000 us/op
WorkloadActual  93: 1 op, 259200.00 ns, 259.2000 us/op
WorkloadActual  94: 1 op, 244300.00 ns, 244.3000 us/op
WorkloadActual  95: 1 op, 389200.00 ns, 389.2000 us/op
WorkloadActual  96: 1 op, 236900.00 ns, 236.9000 us/op
WorkloadActual  97: 1 op, 271700.00 ns, 271.7000 us/op
WorkloadActual  98: 1 op, 270200.00 ns, 270.2000 us/op
WorkloadActual  99: 1 op, 271500.00 ns, 271.5000 us/op
WorkloadActual  100: 1 op, 267400.00 ns, 267.4000 us/op

WorkloadResult   1: 1 op, 277200.00 ns, 277.2000 us/op
WorkloadResult   2: 1 op, 247200.00 ns, 247.2000 us/op
WorkloadResult   3: 1 op, 248800.00 ns, 248.8000 us/op
WorkloadResult   4: 1 op, 248800.00 ns, 248.8000 us/op
WorkloadResult   5: 1 op, 264200.00 ns, 264.2000 us/op
WorkloadResult   6: 1 op, 307700.00 ns, 307.7000 us/op
WorkloadResult   7: 1 op, 285700.00 ns, 285.7000 us/op
WorkloadResult   8: 1 op, 246000.00 ns, 246.0000 us/op
WorkloadResult   9: 1 op, 282900.00 ns, 282.9000 us/op
WorkloadResult  10: 1 op, 259200.00 ns, 259.2000 us/op
WorkloadResult  11: 1 op, 244600.00 ns, 244.6000 us/op
WorkloadResult  12: 1 op, 246500.00 ns, 246.5000 us/op
WorkloadResult  13: 1 op, 256900.00 ns, 256.9000 us/op
WorkloadResult  14: 1 op, 244800.00 ns, 244.8000 us/op
WorkloadResult  15: 1 op, 246900.00 ns, 246.9000 us/op
WorkloadResult  16: 1 op, 248800.00 ns, 248.8000 us/op
WorkloadResult  17: 1 op, 236700.00 ns, 236.7000 us/op
WorkloadResult  18: 1 op, 260300.00 ns, 260.3000 us/op
WorkloadResult  19: 1 op, 262000.00 ns, 262.0000 us/op
WorkloadResult  20: 1 op, 262400.00 ns, 262.4000 us/op
WorkloadResult  21: 1 op, 270100.00 ns, 270.1000 us/op
WorkloadResult  22: 1 op, 278900.00 ns, 278.9000 us/op
WorkloadResult  23: 1 op, 322200.00 ns, 322.2000 us/op
WorkloadResult  24: 1 op, 278600.00 ns, 278.6000 us/op
WorkloadResult  25: 1 op, 250100.00 ns, 250.1000 us/op
WorkloadResult  26: 1 op, 250600.00 ns, 250.6000 us/op
WorkloadResult  27: 1 op, 269900.00 ns, 269.9000 us/op
WorkloadResult  28: 1 op, 255600.00 ns, 255.6000 us/op
WorkloadResult  29: 1 op, 298100.00 ns, 298.1000 us/op
WorkloadResult  30: 1 op, 267700.00 ns, 267.7000 us/op
WorkloadResult  31: 1 op, 253900.00 ns, 253.9000 us/op
WorkloadResult  32: 1 op, 276400.00 ns, 276.4000 us/op
WorkloadResult  33: 1 op, 298500.00 ns, 298.5000 us/op
WorkloadResult  34: 1 op, 282200.00 ns, 282.2000 us/op
WorkloadResult  35: 1 op, 250000.00 ns, 250.0000 us/op
WorkloadResult  36: 1 op, 250500.00 ns, 250.5000 us/op
WorkloadResult  37: 1 op, 280500.00 ns, 280.5000 us/op
WorkloadResult  38: 1 op, 250400.00 ns, 250.4000 us/op
WorkloadResult  39: 1 op, 249100.00 ns, 249.1000 us/op
WorkloadResult  40: 1 op, 243600.00 ns, 243.6000 us/op
WorkloadResult  41: 1 op, 250700.00 ns, 250.7000 us/op
WorkloadResult  42: 1 op, 321000.00 ns, 321.0000 us/op
WorkloadResult  43: 1 op, 314400.00 ns, 314.4000 us/op
WorkloadResult  44: 1 op, 268800.00 ns, 268.8000 us/op
WorkloadResult  45: 1 op, 249700.00 ns, 249.7000 us/op
WorkloadResult  46: 1 op, 267800.00 ns, 267.8000 us/op
WorkloadResult  47: 1 op, 250800.00 ns, 250.8000 us/op
WorkloadResult  48: 1 op, 245800.00 ns, 245.8000 us/op
WorkloadResult  49: 1 op, 248900.00 ns, 248.9000 us/op
WorkloadResult  50: 1 op, 281400.00 ns, 281.4000 us/op
WorkloadResult  51: 1 op, 270800.00 ns, 270.8000 us/op
WorkloadResult  52: 1 op, 248200.00 ns, 248.2000 us/op
WorkloadResult  53: 1 op, 277500.00 ns, 277.5000 us/op
WorkloadResult  54: 1 op, 271800.00 ns, 271.8000 us/op
WorkloadResult  55: 1 op, 262200.00 ns, 262.2000 us/op
WorkloadResult  56: 1 op, 257800.00 ns, 257.8000 us/op
WorkloadResult  57: 1 op, 310000.00 ns, 310.0000 us/op
WorkloadResult  58: 1 op, 262500.00 ns, 262.5000 us/op
WorkloadResult  59: 1 op, 284700.00 ns, 284.7000 us/op
WorkloadResult  60: 1 op, 259200.00 ns, 259.2000 us/op
WorkloadResult  61: 1 op, 266700.00 ns, 266.7000 us/op
WorkloadResult  62: 1 op, 260600.00 ns, 260.6000 us/op
WorkloadResult  63: 1 op, 305900.00 ns, 305.9000 us/op
WorkloadResult  64: 1 op, 253500.00 ns, 253.5000 us/op
WorkloadResult  65: 1 op, 274400.00 ns, 274.4000 us/op
WorkloadResult  66: 1 op, 261700.00 ns, 261.7000 us/op
WorkloadResult  67: 1 op, 302300.00 ns, 302.3000 us/op
WorkloadResult  68: 1 op, 267100.00 ns, 267.1000 us/op
WorkloadResult  69: 1 op, 267700.00 ns, 267.7000 us/op
WorkloadResult  70: 1 op, 246700.00 ns, 246.7000 us/op
WorkloadResult  71: 1 op, 243400.00 ns, 243.4000 us/op
WorkloadResult  72: 1 op, 260300.00 ns, 260.3000 us/op
WorkloadResult  73: 1 op, 280400.00 ns, 280.4000 us/op
WorkloadResult  74: 1 op, 273000.00 ns, 273.0000 us/op
WorkloadResult  75: 1 op, 265500.00 ns, 265.5000 us/op
WorkloadResult  76: 1 op, 250900.00 ns, 250.9000 us/op
WorkloadResult  77: 1 op, 252300.00 ns, 252.3000 us/op
WorkloadResult  78: 1 op, 318400.00 ns, 318.4000 us/op
WorkloadResult  79: 1 op, 255600.00 ns, 255.6000 us/op
WorkloadResult  80: 1 op, 272800.00 ns, 272.8000 us/op
WorkloadResult  81: 1 op, 232300.00 ns, 232.3000 us/op
WorkloadResult  82: 1 op, 308100.00 ns, 308.1000 us/op
WorkloadResult  83: 1 op, 249500.00 ns, 249.5000 us/op
WorkloadResult  84: 1 op, 255200.00 ns, 255.2000 us/op
WorkloadResult  85: 1 op, 250700.00 ns, 250.7000 us/op
WorkloadResult  86: 1 op, 236500.00 ns, 236.5000 us/op
WorkloadResult  87: 1 op, 259000.00 ns, 259.0000 us/op
WorkloadResult  88: 1 op, 244100.00 ns, 244.1000 us/op
WorkloadResult  89: 1 op, 236700.00 ns, 236.7000 us/op
WorkloadResult  90: 1 op, 271500.00 ns, 271.5000 us/op
WorkloadResult  91: 1 op, 270000.00 ns, 270.0000 us/op
WorkloadResult  92: 1 op, 271300.00 ns, 271.3000 us/op
WorkloadResult  93: 1 op, 267200.00 ns, 267.2000 us/op
// GC:  0 0 0 4784 1
// Threading:  0 0 1


Mean = 265.482 μs, StdErr = 2.131 μs (0.80%), N = 93, StdDev = 20.546 μs
Min = 232.300 μs, Q1 = 250.000 μs, Median = 261.700 μs, Q3 = 274.400 μs, Max = 322.200 μs
IQR = 24.400 μs, LowerFence = 213.400 μs, UpperFence = 311.000 μs
ConfidenceInterval = [258.239 μs; 272.724 μs] (CI 99.9%), Margin = 7.243 μs (2.73% of Mean)
Skewness = 1.01, Kurtosis = 3.48, MValue = 3

// ** Remained 26 (96,3 %) benchmark(s) to run. Estimated finish 2025-07-05 0:07 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Höchstleistung)
// **************************
// Benchmark: Kyber_Benchmarking.Encaps: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1) [AlgorithmName=Kyber1024]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-HRFCSV(Toolchain=InProcessNoEmitToolchain, InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 700.00 ns, 700.0000 ns/op
WorkloadJitting  1: 1 op, 252800.00 ns, 252.8000 us/op

OverheadWarmup   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   2: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   4: 1 op, 400.00 ns, 400.0000 ns/op
OverheadWarmup   5: 1 op, 300.00 ns, 300.0000 ns/op

OverheadActual   1: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   2: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   3: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   4: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   5: 1 op, 200.00 ns, 200.0000 ns/op
